Age,Gender,Education Level,Years of Experience,Job Role,Department,Location,Performance Rating,Skills,Company Tier,Certifications,Past Companies,Salary
50,Female,High School,27,Data Scientist,IT,Mumbai,5.0,Marketing,Mid-Size,Basic,5,8121865.92
36,Male,Master,14,Software Engineer,IT,Hyderabad,4.0,Management,Mid-Size,None,1,5006283.92
29,Male,Bachelor,11,Sales Rep,Sales,Kolkata,2.0,Communication,Mid-Size,None,4,1996023.34
42,Other,Bachelor,20,HR Manager,HR,Kolkata,5.0,Management,Enterprise,None,4,5627280.44
40,Other,PhD,18,Data Scientist,IT,Delhi,4.0,,Mid-Size,None,1,7383397.09
44,Male,Bachelor,21,HR Manager,HR,Kolkata,3.0,Communication,Mid-Size,None,5,4476604.71
32,Other,PhD,12,HR Manager,HR,Hyderabad,2.0,,Startup,None,4,3861198.23
32,Female,Bachelor,13,Marketing Specialist,Marketing,Mumbai,2.0,SQL,Mid-Size,None,3,2983641.0
45,Female,Master,27,Marketing Specialist,Marketing,Delhi,2.0,Communication,Startup,None,5,5966825.37
57,Male,Master,34,Marketing Specialist,Marketing,Kolkata,5.0,Python,Mid-Size,None,4,8190299.78
45,Female,Master,25,Data Scientist,IT,Kolkata,1.0,Communication,Startup,None,4,7409489.59
24,Male,PhD,0,HR Manager,HR,Hyderabad,5.0,Python,Startup,None,1,764219.46
43,Female,Bachelor,24,Software Engineer,IT,Chennai,4.0,Management,Startup,None,3,5530883.16
23,Male,PhD,4,Sales Rep,Sales,Chennai,1.0,Management,Startup,None,5,1280663.04
45,Male,Bachelor,22,Marketing Specialist,Marketing,Remote,4.0,Communication,Startup,Basic,2,3269014.43
51,Male,Bachelor,30,Marketing Specialist,Marketing,Kolkata,1.0,Management,Enterprise,Basic,0,6609626.31
59,Female,Bachelor,41,HR Manager,HR,Mumbai,5.0,Marketing,Mid-Size,None,3,9007079.38
23,Male,Bachelor,4,HR Manager,HR,Delhi,2.0,SQL,Mid-Size,None,2,1081554.33
42,Female,Bachelor,19,Data Scientist,IT,Kolkata,3.0,SQL,Mid-Size,None,3,5290109.83
54,Other,Bachelor,31,Data Scientist,IT,Bangalore,2.0,Python,Startup,Basic,2,9545669.77
33,Male,Bachelor,13,Marketing Specialist,Marketing,Delhi,5.0,Management,Enterprise,None,2,3473798.42
43,Female,Master,19,HR Manager,HR,Remote,1.0,Python,Startup,None,3,3331769.28
46,Male,Master,25,Software Engineer,IT,Chennai,2.0,SQL,Startup,Basic,1,7027959.93
48,Female,Bachelor,30,Sales Rep,Sales,Kolkata,5.0,SQL,Mid-Size,None,3,5061071.01
49,Male,Bachelor,27,HR Manager,HR,Hyderabad,4.0,Management,Startup,None,3,5386329.01
37,Female,Bachelor,13,HR Manager,HR,Bangalore,3.0,Marketing,Mid-Size,None,2,3346192.97
36,Female,Bachelor,12,Data Scientist,IT,Kolkata,2.0,Marketing,Startup,Basic,0,2942997.26
24,Female,High School,4,Sales Rep,Sales,Remote,1.0,Management,Mid-Size,None,2,625544.87
58,Female,Bachelor,39,Marketing Specialist,Marketing,Mumbai,4.0,Management,Mid-Size,Basic,4,9230697.82
28,Male,Bachelor,9,HR Manager,HR,Bangalore,5.0,Python,Startup,Basic,3,2518107.64
42,Female,PhD,22,Marketing Specialist,Marketing,Remote,3.0,Management,Mid-Size,None,5,5892573.18
30,Female,Bachelor,7,HR Manager,HR,Kolkata,1.0,Marketing,Startup,None,3,1254239.25
39,Female,Bachelor,20,Marketing Specialist,Marketing,Mumbai,5.0,,Mid-Size,None,1,4174187.3
25,Male,Bachelor,4,Sales Rep,Sales,Bangalore,5.0,Python,Startup,Basic,5,1319824.28
46,Female,Bachelor,28,Data Scientist,IT,Mumbai,2.0,Python,Mid-Size,Basic,2,9034260.12
